DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
WATCH,1647238612663,1647238612085,4,1647238611357,-0.035,0.019,-0.020,-0.002,0.023,-0.003,102
WATCH,1647238612664,1647238612086,4,1647238611367,-0.053,0.023,-0.012,0.001,0.017,0.006,102
WATCH,1647238612664,1647238612086,4,1647238611377,-0.069,0.006,-0.009,0.005,-0.005,0.016,102
WATCH,1647238612664,1647238612086,4,1647238611387,-0.066,0.001,-0.001,0.009,-0.004,0.002,102
WATCH,1647238612664,1647238612086,4,1647238611397,-0.072,0.002,0.012,0.013,0.005,0.007,102
WATCH,1647238612665,1647238612087,4,1647238611407,-0.092,-0.012,-0.002,0.002,-0.014,0.005,102
WATCH,1647238612665,1647238612087,4,1647238611417,-0.068,-0.011,0.003,0.001,0.003,-0.015,102
WATCH,1647238612665,1647238612087,4,1647238611427,-0.048,0.003,0.002,0.005,0.026,-0.013,102
WATCH,1647238612665,1647238612087,4,1647238611437,-0.041,-0.002,0.003,0.002,0.010,-0.004,102
WATCH,1647238614258,1647238613680,4,1647238611447,-0.058,-0.009,0.014,0.009,-0.000,-0.006,102
WATCH,1647238614315,1647238613737,4,1647238611566,-0.000,0.037,0.001,-0.004,0.023,-0.004,102
WATCH,1647238614315,1647238613737,4,1647238611576,0.001,0.024,0.004,0.002,0.007,0.004,102
WATCH,1647238614315,1647238613737,4,1647238611585,-0.006,0.023,-0.002,0.002,-0.011,0.005,102
WATCH,1647238614315,1647238613737,4,1647238611596,0.012,0.010,-0.012,0.000,-0.018,-0.001,102
WATCH,1647238614315,1647238613737,4,1647238611606,0.050,0.011,-0.005,-0.007,-0.018,-0.010,102
WATCH,1647238614315,1647238613737,4,1647238611616,0.053,0.026,-0.008,-0.011,-0.006,-0.001,102
WATCH,1647238614260,1647238613682,4,1647238611457,-0.116,0.010,0.028,0.013,0.005,0.011,102
WATCH,1647238614261,1647238613683,4,1647238611467,-0.155,-0.011,0.023,0.007,-0.018,0.034,102
WATCH,1647238614261,1647238613683,4,1647238611477,-0.160,-0.017,0.021,-0.010,-0.028,0.022,102
WATCH,1647238614261,1647238613683,4,1647238611486,-0.101,0.012,0.008,-0.034,-0.004,0.013,102
WATCH,1647238614261,1647238613683,4,1647238611496,-0.033,0.040,-0.002,-0.040,0.012,-0.016,102
WATCH,1647238614261,1647238613683,4,1647238611506,-0.015,0.051,-0.006,-0.012,0.014,-0.021,102
WATCH,1647238614262,1647238613684,4,1647238611516,-0.027,0.026,-0.004,0.017,-0.007,-0.006,102
WATCH,1647238614262,1647238613684,4,1647238611526,-0.062,0.027,-0.001,0.022,-0.019,-0.010,102
WATCH,1647238614262,1647238613684,4,1647238611536,-0.058,0.022,0.002,0.011,-0.010,0.001,102
WATCH,1647238614314,1647238613736,4,1647238611546,-0.032,0.021,0.004,-0.003,-0.001,-0.001,102
WATCH,1647238614315,1647238613737,4,1647238611556,-0.012,0.034,0.003,-0.007,0.016,-0.011,102
WATCH,1647238614315,1647238613737,4,1647238611625,0.048,0.015,-0.012,-0.011,-0.007,0.010,102
WATCH,1647238614315,1647238613737,4,1647238611635,0.049,0.021,-0.008,-0.002,-0.005,0.000,102
WATCH,1647238614876,1647238614298,4,1647238611645,0.059,0.011,-0.015,0.002,0.001,-0.003,102
WATCH,1647238614876,1647238614298,4,1647238611655,0.065,0.010,-0.014,0.001,-0.002,-0.009,102
WATCH,1647238614876,1647238614298,4,1647238611665,0.074,0.008,-0.011,0.006,0.006,-0.012,102
WATCH,1647238614876,1647238614298,4,1647238611675,0.067,0.011,-0.006,0.011,0.008,-0.003,102
WATCH,1647238614876,1647238614298,4,1647238611685,0.037,-0.000,0.004,0.009,-0.004,0.013,102
WATCH,1647238615138,1647238614560,4,1647238611695,0.000,-0.012,0.004,0.007,-0.008,0.016,102
WATCH,1647238615138,1647238614560,4,1647238611705,0.010,-0.016,0.007,0.002,0.007,0.010,102
WATCH,1647238615139,1647238614561,4,1647238611715,0.004,-0.014,0.010,-0.005,0.014,0.013,102
WATCH,1647238615139,1647238614561,4,1647238611725,0.001,-0.024,0.007,-0.005,0.010,0.009,102
WATCH,1647238615139,1647238614561,4,1647238611735,-0.017,-0.019,0.011,-0.001,-0.001,0.006,102
WATCH,1647238615189,1647238614611,4,1647238611745,-0.030,-0.024,0.008,0.002,-0.016,0.012,102
WATCH,1647238615189,1647238614611,4,1647238611754,-0.032,-0.027,0.005,0.002,-0.018,0.002,102
WATCH,1647238615189,1647238614611,4,1647238611764,-0.011,-0.025,0.007,0.001,-0.006,-0.009,102
WATCH,1647238615189,1647238614611,4,1647238611774,0.000,-0.023,0.006,0.003,0.004,-0.013,102
WATCH,1647238615189,1647238614611,4,1647238611784,0.012,-0.020,0.004,0.003,0.012,-0.008,102
WATCH,1647238615189,1647238614611,4,1647238611794,0.007,-0.015,0.010,0.006,0.009,-0.005,102
WATCH,1647238615189,1647238614611,4,1647238611804,-0.015,-0.022,0.008,0.008,-0.001,0.004,102
WATCH,1647238615190,1647238614612,4,1647238611814,-0.020,-0.018,0.007,-0.001,-0.010,0.012,102
WATCH,1647238615190,1647238614612,4,1647238611824,-0.026,-0.012,-0.003,-0.006,-0.010,-0.000,102
WATCH,1647238615190,1647238614612,4,1647238611834,-0.017,-0.000,-0.000,-0.002,0.005,-0.007,102
WATCH,1647238615238,1647238614660,4,1647238611844,-0.012,-0.010,-0.005,0.008,0.002,0.000,102
WATCH,1647238615238,1647238614660,4,1647238611854,-0.022,-0.011,-0.002,0.002,-0.007,-0.000,102
WATCH,1647238615239,1647238614661,4,1647238611864,-0.016,-0.000,0.007,-0.006,-0.006,-0.005,102
WATCH,1647238615239,1647238614661,4,1647238611874,-0.042,0.003,0.005,-0.016,-0.018,0.014,102
WATCH,1647238615239,1647238614661,4,1647238611883,-0.044,-0.006,0.004,-0.007,-0.005,0.012,102
WATCH,1647238615240,1647238614662,4,1647238611893,-0.017,-0.007,-0.001,0.009,0.017,-0.011,102
WATCH,1647238615240,1647238614662,4,1647238611903,0.000,-0.001,-0.010,0.009,0.015,-0.015,102
WATCH,1647238615240,1647238614662,4,1647238611914,0.001,0.010,-0.013,0.003,0.008,-0.011,102
WATCH,1647238615240,1647238614662,4,1647238611923,-0.009,0.017,-0.012,0.004,0.001,0.005,102
WATCH,1647238615240,1647238614662,4,1647238611933,-0.023,-0.002,-0.021,0.008,-0.014,0.004,102
WATCH,1647238615803,1647238615225,4,1647238611943,-0.019,-0.003,-0.014,0.006,-0.016,-0.005,102
WATCH,1647238615804,1647238615226,4,1647238611953,-0.019,0.003,-0.007,-0.002,-0.001,-0.004,102
WATCH,1647238615804,1647238615226,4,1647238611963,-0.022,-0.001,-0.008,-0.010,-0.002,-0.001,102
WATCH,1647238615804,1647238615226,4,1647238611973,-0.016,0.002,-0.008,-0.011,-0.005,0.000,102
WATCH,1647238615804,1647238615226,4,1647238611983,0.005,0.007,-0.001,-0.001,0.009,-0.010,102
WATCH,1647238615922,1647238615344,4,1647238611993,0.021,0.015,-0.001,0.008,0.020,-0.008,102
WATCH,1647238615922,1647238615344,4,1647238612003,0.024,0.007,-0.006,0.009,0.008,-0.006,102
WATCH,1647238615922,1647238615344,4,1647238612012,0.019,0.003,-0.000,0.009,-0.001,-0.008,102
WATCH,1647238615923,1647238615345,4,1647238612022,0.006,0.011,0.003,0.005,0.004,0.001,102
WATCH,1647238615923,1647238615345,4,1647238612032,0.008,0.002,0.006,0.000,-0.003,0.006,102
WATCH,1647238615925,1647238615347,4,1647238612042,-0.007,-0.002,0.002,-0.004,-0.015,0.005,102
WATCH,1647238615925,1647238615347,4,1647238612052,-0.007,0.004,0.005,-0.010,-0.006,0.011,102
